mode,threshold,precision,recall,accuracy,f1,fpr,tpr,n_pos,n_neg
hf,0.0,0.5,1.0,0.5,0.666667,1.0,1.0,100,100
hf,0.005,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.01,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.015,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.02,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.025,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.03,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.035,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.04,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.045,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.05,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.055,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.06,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.065,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.07,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.075,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.08,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.085,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.09,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.095,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.1,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.105,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.11,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.115,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.12,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.125,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.13,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.135,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.14,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.145,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.15,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.155,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.16,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.165,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.17,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.175,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.18,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.185,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.19,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.195,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.2,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.205,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.21,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.215,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.22,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.225,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.23,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.235,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.24,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.245,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.25,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.255,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.26,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.265,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.27,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.275,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.28,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.285,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.29,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.295,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.3,0.0,0.0,0.5,0.0,0.0,0.0,100,100
hf,0.305,0.0,0.0,0.5,0.0,0.0,0.0,100,100
