threshold,precision,recall,accuracy,macro_f1,model_id,dataset
0.05,0.8708944067380702,0.7814002307894006,0.806665815349253,0.7863092462453862,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.055,0.8808904447887724,0.8048870587759276,0.827352828502107,0.8118329608207788,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.06,0.888469293540444,0.822338011400367,0.8426765419486656,0.8302219832076629,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.065,0.8936631985726173,0.8338375488034163,0.8527646533009833,0.8420906074955667,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.07,0.899373498328691,0.8449582882603777,0.8625973694291916,0.8534247118646898,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.075,0.9022989699819067,0.852040609890147,0.8687268548078151,0.8605066368905903,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.08,0.9048365551687676,0.8576187145953338,0.873579364065892,0.8660468070142653,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.085,0.9067542957010323,0.8622158255097789,0.8775379900395862,0.8705618429217092,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.09,0.9079048623393036,0.8663551657673232,0.8809858255650619,0.8745401720798125,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.095,0.9097553725654176,0.8708378340175431,0.8848167539267016,0.8788709177791204,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.1,0.9128092190919417,0.876355973675675,0.8896692631847785,0.8842462583019204,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.105,0.9144127141334266,0.8797677005645705,0.8926063082620355,0.8875152361684029,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.11,0.9152068329649801,0.8824028238975323,0.8947771676669646,0.8899690189028209,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.115,0.9159918732993384,0.8845447066201808,0.8965649342357298,0.8919702687170399,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.12,0.917063974036697,0.8871198649060876,0.8987357936406589,0.8943816873604009,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.125,0.9175419801765585,0.8886840468777251,0.9000127697612055,0.8958144236990853,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.13,0.8829028149696296,0.8674441561450157,0.8758779210828758,0.8720354106557169,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.135,0.8842824044087373,0.8694960912970817,0.8776656876516409,0.8739699843497695,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.14,0.8858777395162025,0.871836876824653,0.8797088494445154,0.8761746185834172,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.145,0.8875286527009303,0.8743520700635048,0.8818797088494446,0.878521665091911,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.15,0.8593021532212466,0.854166658402465,0.8590218362916614,0.8561683818473802,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.155,0.8603088506698648,0.8554964676157673,0.8601711148001533,0.8573982044896922,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.16,0.8355889186646333,0.8357088615645734,0.8378240326905887,0.8356483822585518,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.165,0.8366760510002436,0.8371286183484581,0.8389733111990806,0.8368948701920722,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.17,0.8382904716428417,0.8390661108362989,0.840633380155791,0.8386556939218599,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.175,0.8394043818427984,0.8404558850966561,0.8417826586642829,0.8398873922238903,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.18,0.8401566344833038,0.8413524187467001,0.8425488443366109,0.8406984234616036,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.185,0.8409067413125989,0.8422789349202716,0.8433150300089388,0.8415174882055214,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.19,0.8422907388711577,0.8439875420796619,0.84471970374154,0.8430193990353103,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.195,0.8426707808341568,0.8444508001664477,0.845102796577704,0.8434276584006309,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
0.2,0.843692717431153,0.8456062016684696,0.8461243774741413,0.8444933424939722,cybersectony/phishing-email-detection-distilbert_v2.4.1,data\holdout\ceas08.csv
